x1;x2;x3;x4;x5;f3
0.03125;0.078125;0.703125;994.8506224;1.000000673;0.319438282
0.03125;0.078125;1.328125;994.8506224;1.000000673;0.40287085
0.03125;0.078125;1.953125;994.8506224;1.000000673;0.434436064
0.03125;0.078125;2.578125;994.8506224;1.000000673;0.455977953
0.0203125;0.078125;1.5625;994.8506224;1.000000673;0.32
0.0234375;0.078125;1.5625;994.8506224;1.000000673;0.349285714
0.0265625;0.078125;1.5625;994.8506224;1.000000673;0.38
0.03125;0.078125;1.5625;994.8506224;1.000000673;0.414285714
0.020253165;0.063291139;1.265822785;994.8506224;1.000000673;0.279285714
0.025;0.125;1.5625;994.8506224;1.000000673;0.42
0.016494845;0.082474227;1.030927835;994.8506224;1.000000673;0.242142857
0.020253165;0.139240506;1.265822785;994.8506224;1.000000673;0.365
0.023333333;0.066666667;1;1135.929461;1.000000673;0.326598632
0.011666667;0.166666667;1;1135.929461;0.267949313;0.206196525
0.005833333;0.166666667;1;1135.929461;1.000000673;0.125390546
0.003888889;0.166666667;1;1135.929461;1.000000673;0.126190476
0.017857143;0.285714286;1;1135.929461;0.267949313;0.452761208
0.002336449;0.196261682;1;1135.929461;0.267949313;0.106998122
0.021666667;0.166666667;1;945.0580913;1.000000673;0.412393049
0.014285714;0.142857143;0.714285714;2223.06639;0.198912455;0.468571429
0.014285714;0.142857143;1.428571429;2223.06639;0.198912455;0.510632111
0.014285714;0.142857143;2.142857143;2223.06639;0.198912455;0.631373759
0.021428571;0.142857143;1.071428571;2223.06639;0.198912455;0.629868791
0.021428571;0.142857143;1.785714286;2223.06639;0.198912455;0.660916031
0.028571429;0.142857143;0.714285714;2223.06639;0.198912455;0.771428571
0.028571429;0.142857143;1.428571429;2223.06639;0.198912455;0.787413908
0.028571429;0.142857143;2.142857143;2223.06639;0.198912455;0.919224107
0.035714286;0.142857143;1.071428571;2223.06639;0.198912455;0.853238927
0.035714286;0.142857143;1.785714286;2223.06639;0.198912455;0.913898244
0.014285714;0.017857143;0.357142857;2223.06639;0.198912455;0.135360441
0.014285714;0.053571429;0.357142857;2223.06639;0.198912455;0.275771645
0.014285714;0.142857143;0.357142857;2223.06639;0.198912455;0.476792001
0.028571429;0.035714286;0.357142857;2223.06639;0.198912455;0.267690424
0.028571429;0.071428571;0.357142857;2223.06639;0.198912455;0.490934137
0.05;0.017857143;0.357142857;2223.06639;0.198912455;0.274761492
